n,m,C,S
57,56,6.52972656296101e-10,3.34102831399327e-09
57,57,-2.29756173926028e-09,-3.07409871377311e-09
58,0,-3.47390099127952e-09,0.0
58,1,-1.98142183250709e-09,-1.20514944288508e-09
58,2,2.14556111713081e-09,5.03477799849976e-09
58,3,-4.1707357970188e-09,-5.53365410048995e-09
58,4,-2.78996698510867e-09,-1.86880564927431e-09
58,5,2.02726911364545e-09,-5.25348194484501e-10
58,6,-9.01947420527271e-10,1.20437845255909e-09
58,7,-5.11146435571484e-09,2.94983039040991e-09
58,8,4.11761610607363e-09,3.11779588729141e-09
58,9,-4.18921597573157e-09,-6.29729469333959e-09
58,10,2.39287334743182e-10,-2.02250491590631e-09
58,11,-3.26600657416489e-09,-4.53607748753852e-09
58,12,1.89369618394268e-09,6.08446385643818e-10
58,13,-3.75951032518284e-09,1.61669161239876e-10
58,14,4.62428846393419e-09,-1.75295429451927e-09
58,15,1.65717664408061e-09,-9.89568792564044e-10
58,16,1.14308683817324e-09,-1.41577591146471e-09
58,17,4.81349694102033e-09,2.21667384863505e-09
58,18,4.60103438032182e-09,-6.36577394108598e-10
58,19,2.15607409186626e-09,-4.76132303043886e-10
58,20,-2.90134425624985e-09,1.01881759536473e-09
58,21,-3.60753449255327e-10,4.86280007397552e-09
58,22,3.02528444390958e-09,-2.65329773642822e-09
58,23,-2.5404024804815e-10,2.60778289467771e-09
58,24,-3.1372814738185e-09,-1.9528865489042e-09
58,25,2.30986726545977e-09,-2.57623557351084e-09
58,26,-1.7863115036613e-09,-1.05449824846966e-10
58,27,-3.87155770110822e-09,-5.43579426176499e-09
58,28,-2.11743220776465e-09,-2.39749429511117e-09
58,29,2.65982579255039e-09,-2.79927037005063e-09
58,30,6.06205823113153e-09,3.26021583884203e-09
58,31,-3.48748685686611e-09,1.3937066240529e-09
58,32,2.02047368022051e-09,1.01972879067035e-09
58,33,-6.12891008598707e-10,1.38834951868658e-09
58,34,-2.32511687916635e-09,2.75018793180097e-09
58,35,-3.36765536701297e-09,-3.6912821215997e-10
58,36,-4.10743849926763e-09,-1.76879502489741e-09
58,37,2.32716376996967e-09,-2.72922870393088e-09
58,38,-5.19988605955695e-09,3.25330106646708e-10
58,39,5.62750255336003e-10,-1.32008836658743e-09
58,40,1.9702472650454e-09,-5.72348559459736e-09
58,41,2.39485608607096e-09,3.1449905556763e-09
58,42,8.60663567632028e-10,-1.69955457202581e-09
58,43,-1.59656279274536e-09,-2.92353688527094e-09
58,44,6.96105983804806e-09,6.71289750662206e-10
58,45,-1.19701872432845e-09,4.7280510290888e-09
58,46,1.62884125871955e-09,2.01665547119584e-09
58,47,4.19255886566688e-10,-8.08688459208799e-10
58,48,-1.59467093584598e-09,-3.49816316427824e-09
58,49,1.38220585945535e-09,-1.93728524110588e-10
58,50,-8.8319374257249e-10,6.21330074768704e-09
58,51,8.44178901200757e-10,-3.37566343513612e-09
58,52,-6.43040291759032e-10,4.38879856678902e-09
58,53,-5.27472605510813e-09,-2.46680394756461e-09
58,54,-2.96171030523079e-09,-7.53941172122911e-10
58,55,1.8244380232326e-09,-3.04633287037957e-09
58,56,-2.2528897153349e-10,-5.34293197132167e-10
58,57,-2.14104072267515e-09,8.90358856918398e-10
58,58,-1.55455604907062e-10,2.44791787795669e-10
59,0,3.54442202454392e-09,0.0
59,1,-3.33884867004301e-09,-8.08072573770388e-10
59,2,4.70829455874728e-09,8.18063457032113e-10
59,3,-1.59264074377914e-09,-4.90125412856915e-09
59,4,3.22685700709394e-09,3.88261115903218e-09
59,5,2.41116152992327e-10,-5.2195042787603e-09
59,6,-5.06829711985934e-09,6.78950053048891e-11
59,7,-4.41630371543084e-09,5.82026675718177e-10
59,8,3.66677441570754e-09,6.04676159910398e-10
59,9,-2.06067191321605e-10,-1.17939868087364e-09
59,10,5.43561902903268e-09,-5.18043992787202e-09
59,11,5.71776739156334e-11,-2.47929020463587e-10
59,12,3.27958238750403e-09,-2.99872774572348e-09
59,13,-4.82653762724751e-09,-9.18257105842537e-10
59,14,-1.43075737471483e-09,-5.92836666697641e-09
59,15,7.65083471089797e-10,-2.03428342730449e-09
59,16,-1.17928339723575e-09,-1.17070684379928e-09
59,17,1.42242763998177e-09,-3.26477705736896e-10
59,18,2.204698457232e-09,-2.82904565672582e-10
59,19,6.30255434834412e-11,-2.63109376674661e-09
59,20,-3.64098918250696e-09,-1.14009833841558e-09
59,21,3.96170734464108e-09,-3.32421128622139e-10
59,22,2.21844775484537e-09,-4.17245865541208e-09
59,23,4.40592084403594e-09,3.59566360969899e-09
59,24,7.95190934647719e-10,-6.84427133856053e-11
59,25,1.97363182257984e-09,-2.0274577501347e-09
59,26,8.38484737502838e-10,9.94077185978469e-09
59,27,-3.2336599183836e-09,-1.30600158259139e-09
59,28,2.81494051343753e-10,-3.80744808727504e-10
59,29,-4.11732925098236e-09,-5.68509871256853e-10
59,30,-3.11950862628691e-09,-2.03378299163426e-09
59,31,-1.60266237317701e-09,4.10729508117989e-09
59,32,1.55732267195371e-09,-8.80051114601028e-10
59,33,-7.8227594562015e-10,-2.44589018752765e-12
59,34,1.57950792764488e-09,-5.59996508586123e-10
59,35,-2.41113604559714e-09,-1.34209047671651e-09
59,36,4.40364158580187e-10,9.92865289140251e-10
59,37,-1.01073327062968e-09,-1.49468600175986e-09
59,38,-1.03894618627294e-09,4.93751743024153e-09
59,39,-2.66960828685154e-09,5.23507624361886e-10
59,40,-7.62479536450707e-09,5.48292097236793e-10
59,41,-7.19965896275593e-10,1.01763513823716e-09
59,42,-1.64368120365358e-09,-7.7427476607967e-10
59,43,-2.9996726706096e-09,-3.00353067078315e-09
59,44,5.39107442850042e-09,-3.33767627993008e-09
59,45,6.84778674706031e-09,-1.53122771849993e-09
59,46,4.5127535520582e-09,2.17189340447005e-09
59,47,5.05542256530317e-10,4.92964478138218e-09
59,48,3.30305093601688e-09,6.11724523746057e-09
59,49,-2.02929017901316e-09,3.80207858035687e-09
59,50,-4.60948223557356e-09,2.2381821623345e-09
59,51,-6.16207468611993e-10,-8.94611341976231e-10
59,52,-5.78662029844427e-09,-1.20303506410873e-09
59,53,-1.91115612697743e-09,-3.95559095018727e-09
59,54,-3.38508093359896e-09,-3.02266376678745e-09
59,55,-3.6457034049783e-10,1.88425208100249e-09
59,56,4.86678865036803e-09,-2.99079753568228e-09
59,57,4.42105981100849e-09,-1.91855290172887e-09
59,58,1.73568794690827e-09,-2.15991100287531e-09
59,59,2.09837263691737e-09,1.57277877627281e-10
60,0,-8.73028135145518e-10,0.0
60,1,1.87727663926098e-09,-1.32825013933017e-09
60,2,3.48789253438793e-09,-1.90174042720359e-09
60,3,2.81082582947237e-09,-2.40240785948665e-10
60,4,7.65710755689231e-09,-2.04227239232493e-10
60,5,-2.18398145144929e-09,1.45701310215803e-09
60,6,-3.87518677991441e-09,-2.43385342717887e-09
60,7,-8.57821683349787e-10,-2.24288507220279e-09
60,8,3.17963200301667e-09,-2.2439165138423e-09
60,9,9.93291782513661e-10,3.34755923102894e-09
60,10,1.91293530306098e-10,-1.09988336620401e-09
60,11,2.8730923210352e-09,4.86313267853635e-09
60,12,-5.94145468360821e-10,-3.67530033714936e-09
60,13,-8.48881555154454e-10,4.72215068520715e-10
60,14,-2.23856634932075e-09,-5.56339079328926e-10
60,15,4.1159445834291e-11,-1.10383697710038e-09
60,16,-3.81857644114737e-09,-8.92136478238343e-10
60,17,-4.58193387337145e-09,2.16707532828768e-09
60,18,-8.04406255488359e-10,-3.10877906435451e-09
60,19,2.14290723880314e-09,-3.02013731810922e-09
60,20,-7.88613839159239e-10,4.56756555007491e-10
60,21,8.23074684938221e-10,-4.37022275301779e-09
60,22,2.89283829096129e-09,3.93724555944202e-09
60,23,6.34555559899883e-09,-2.73466165170813e-09
60,24,-2.13980248521681e-09,1.0860700042008e-09
60,25,1.9797506850399e-09,-2.11443504094908e-10
60,26,4.0274228559731e-09,4.2997332746282e-09
60,27,-4.25474497191058e-09,2.87930535054496e-09
60,28,1.1218868409649e-09,-2.23181277999075e-09
60,29,2.14263206015738e-09,3.44220478965188e-09
60,30,-5.29096024869246e-09,-2.9031970207814e-09
60,31,4.25738867679731e-09,4.40169025297077e-10
60,32,-5.43748417579937e-10,-2.46069685901983e-10
60,33,-4.39522180693912e-09,4.06230526379225e-09
60,34,4.77370848863954e-09,-2.37486345751294e-09
60,35,6.70124925807689e-11,-8.81318269377254e-10
60,36,1.98890694527995e-09,-8.62960190589599e-10
60,37,-2.81066166684822e-09,8.03087515041086e-10
60,38,1.85019059240589e-09,7.60294120566138e-10
60,39,-1.46067033229987e-09,-4.58840458415934e-09
60,40,-6.13915969798381e-10,1.32666649501236e-09
60,41,3.43164896941121e-10,-1.47308434722917e-09
60,42,1.23220214724568e-09,3.6448794675995e-09
60,43,3.43638087400256e-09,4.80553494969372e-10
60,44,1.54572897397757e-09,-1.48691455823336e-09
60,45,4.05875396972387e-09,-4.37935726266295e-09
60,46,1.6653453205564e-09,2.33319089259066e-11
60,47,1.29238945743055e-09,2.62981345469509e-09
60,48,-4.29386102285391e-09,-3.97535208728928e-09
60,49,5.85349091229195e-09,-3.83096553619749e-09
60,50,2.38362636706276e-09,3.32076539415561e-09
60,51,-2.45452376502644e-09,-1.6378603948868e-09
60,52,3.63414483320561e-09,5.17318219365017e-09
60,53,-7.97167281691942e-10,5.32564075916529e-09
60,54,4.59597253675488e-09,-3.35014518239223e-09
60,55,2.89183122659318e-09,2.32555631491543e-09
60,56,-1.44515250981558e-09,-2.17626735455757e-09
60,57,-1.99727229560439e-09,-7.34653848145407e-11
60,58,-1.81803595988164e-09,2.58885482253326e-09
60,59,-2.44928116592872e-09,8.42582222712943e-10
60,60,3.8191231157592e-09,1.71232808240192e-11
61,0,3.47901444604007e-09,0.0
61,1,2.87034698457739e-09,2.72346394037021e-09
61,2,-1.43485475410367e-09,-1.43625842155543e-09
61,3,9.03759822819293e-10,5.22021890069293e-09
61,4,-2.52678330290492e-10,-2.0865676852634e-09
61,5,8.57828167098215e-10,-1.27728181156831e-09
61,6,4.23648243902633e-09,-3.40626861908738e-09
61,7,-7.8334303831543e-12,6.64520899889761e-10
61,8,1.92693961012883e-09,-1.94005036550542e-09
61,9,2.34340783830735e-09,3.67642527603603e-09
61,10,1.57781559626e-09,9.41773152470833e-10
61,11,1.73486889730268e-09,2.90693230685412e-09
61,12,1.22535360838899e-09,-9.22343506833808e-10
61,13,3.52090147452471e-09,-2.66897650926122e-09
61,14,-2.75734461324221e-09,8.99155521087879e-10
61,15,1.45624966898055e-09,-2.33988782778347e-10
61,16,-1.96974998211113e-09,-2.61236273520404e-10
61,17,-1.46880703653701e-09,1.67271754899712e-10
61,18,-4.71731817419696e-09,-3.45150776463998e-09
61,19,1.84725054921346e-09,1.59109211589213e-09
61,20,2.74951288903457e-09,1.5278384546923e-09
61,21,-3.16354420114114e-09,3.02705785051619e-09
61,22,1.36887087907564e-09,2.36162401583605e-09
61,23,-4.64757693777428e-09,-9.67921895575556e-10
61,24,2.94075786709264e-09,3.54753779188458e-09
61,25,3.51200937789009e-10,-2.32920343573232e-09
61,26,7.19375660484591e-10,-5.48642455147251e-09
61,27,-4.81581418416053e-10,1.73970197956886e-09
61,28,5.83649854070376e-09,-2.60338493514029e-09
61,29,1.67625060239341e-10,2.3894617937903e-09
61,30,1.65800194768179e-10,1.11906750395791e-09
61,31,2.99967726793267e-09,2.79677649508214e-10
61,32,-3.13706061955134e-10,6.02667854714864e-09
61,33,-3.21837043567023e-09,2.19034158239932e-10
61,34,1.68709392270853e-09,-2.56794692413052e-09
61,35,-2.39259120907583e-09,1.32516893610081e-09
61,36,-7.25201850780197e-10,2.90760235849367e-10
61,37,-2.77355234708126e-09,-1.45096352523932e-09
61,38,-6.25107450229868e-10,-6.52975178728987e-09
61,39,3.37363636241379e-09,-2.35764742707194e-09
61,40,3.47445040254678e-09,-2.40488268586345e-09
61,41,1.03092850515548e-09,-2.4237307544534e-09
61,42,3.64406628670224e-09,4.10745600456769e-09
61,43,1.5156146243358e-09,4.94830509354419e-09
61,44,9.45857466039856e-10,4.03337872113816e-09
61,45,2.50930590342755e-09,2.43188407643595e-09
61,46,-1.16092375528577e-10,1.69229612529944e-09
61,47,-1.89014759624702e-10,4.0075897081484e-09
61,48,2.49078897974991e-10,5.3326708987011e-10
61,49,1.08424879658482e-09,-7.72194283756461e-10
61,50,-1.65148004959989e-09,2.60012643534264e-09
61,51,-3.83425163613546e-10,1.41105144663204e-09
61,52,-3.50746307603754e-09,-1.76037751869241e-09
61,53,-1.93886370899301e-09,-4.42590016695739e-09
61,54,3.45137625158428e-09,-4.67125549408623e-10
61,55,1.77596878678968e-09,-1.07795541156915e-09
61,56,3.55246319050043e-09,3.29023018102482e-09
61,57,4.45543144014001e-09,3.47872535165599e-09
61,58,-2.91406141639661e-09,6.77629200287157e-09
61,59,-4.26259612661162e-09,-2.11517259103288e-09
61,60,-3.53244432203514e-09,-3.6161783113618e-09
61,61,-2.10519067461427e-09,4.5311598595131e-10
62,0,1.37140379108815e-09,0.0
62,1,8.53405471291311e-10,2.83546413088474e-09
62,2,-4.12895136157532e-09,6.46128830331973e-09
62,3,4.24149987715719e-09,1.97117287304233e-09
62,4,-1.60218792300725e-09,-3.83716510545015e-10
62,5,2.88879369544206e-09,3.45499031292e-09
62,6,1.16250454856678e-09,-5.48778019075793e-09
62,7,-1.36020139718631e-09,2.54119204960279e-09
62,8,1.39757337905269e-09,-9.80907997468301e-11
62,9,2.43049299745092e-09,-6.94260053379535e-10
62,10,-2.43404297597501e-09,6.16937709237493e-09
62,11,2.13237177331332e-09,3.20348729387311e-09
62,12,3.14350888027507e-09,3.73931262851067e-10
62,13,4.53248012773905e-09,-3.44699143727383e-09
62,14,3.13410899969784e-09,8.38765396304947e-09
62,15,-1.20386130095445e-09,-2.22367729769644e-09
62,16,1.60243823373884e-09,4.27205317878667e-10
62,17,9.39001486157828e-10,-1.53603213166389e-09
62,18,4.08860652148334e-10,-1.12307769700877e-10
62,19,1.78195374650877e-09,-2.02434831991688e-10
62,20,1.75139143791685e-09,2.46139908107047e-09
62,21,-2.32390486735514e-09,4.66468899343959e-10
62,22,-2.84863320014605e-10,-1.18551151701382e-09
62,23,-3.78856186769211e-09,-2.08555312590452e-10
62,24,5.22928292266563e-09,7.88635620357347e-10
62,25,-2.3140283744827e-09,-3.49528018362541e-10
62,26,-2.72412078762411e-09,-4.20259981946614e-10
62,27,5.05052978135511e-10,2.24260712181698e-09
62,28,4.86745404541731e-10,-5.50831145177891e-10
62,29,1.15451867088921e-09,2.55730061647071e-09
62,30,-4.24144774474743e-09,-1.6265651659287e-09
62,31,-2.12064339060199e-10,-3.85873112247078e-09
62,32,8.89884649509431e-10,6.17409629761152e-09
62,33,-3.10574116690452e-09,-4.07922849390978e-09
62,34,4.30991117635519e-10,-1.95255170984853e-09
62,35,4.65920033300164e-09,-7.2070159604267e-11
62,36,1.85609483782956e-10,1.4563957683354e-09
62,37,4.21024481225198e-09,2.71387953779316e-09
62,38,-2.80263528008452e-09,2.92068225192661e-10
62,39,2.24469553053723e-09,7.48578944693653e-10
62,40,-3.3401514831963e-09,-3.50477666163153e-09
62,41,-3.89617964163228e-09,-3.13177480446231e-09
62,42,4.55500443726165e-09,-3.34052658457562e-09
62,43,-1.46262380387137e-09,5.20179956322957e-10
62,44,2.2794298148571e-09,1.09520717986319e-09
62,45,-2.50059996490997e-11,-2.79576710927234e-09
62,46,-3.65027535298651e-10,1.39494729325004e-09
62,47,-1.46453012389552e-09,2.70237940838345e-09
62,48,-1.93094841912359e-09,2.27930145724979e-09
62,49,-4.47350459526836e-09,-1.20742264940027e-09
62,50,-3.00941618439995e-10,1.98714433575343e-09
62,51,-4.25022872729957e-09,-4.53991645769628e-09
62,52,5.01963696829832e-09,-4.53425776345219e-09
62,53,-9.25180427364775e-10,-2.59163377250154e-09
62,54,3.66860482572656e-09,3.76883039158818e-09
62,55,5.02705964668483e-09,-6.53152485479753e-10
62,56,-2.11581479982078e-09,-2.31116431557318e-11
62,57,3.46747256050764e-10,-4.42323940030211e-09
62,58,-1.43389565301511e-09,-1.96549097389646e-09
62,59,-2.79806118260259e-10,-1.3298417480233e-09
62,60,1.17382444994825e-09,1.87948764519316e-09
62,61,3.55593273787043e-09,3.3264263048515e-09
62,62,-2.04468237676377e-09,1.12291579016293e-10
63,0,-1.31102174139072e-09,0.0
63,1,-2.95143921988285e-09,2.58331289759284e-09
63,2,-4.17324203846582e-10,5.26702626510058e-10
63,3,-4.59763762218738e-10,-1.689626681163e-09
63,4,-1.58833673674053e-09,5.43338465071816e-09
63,5,1.18338419530763e-09,-1.06244077714949e-09
63,6,1.09121559472429e-09,3.83102576854536e-09
63,7,-1.08922809198893e-09,1.52990239542759e-09
63,8,-2.92994649275488e-09,3.36006875413236e-09
63,9,9.62368139407183e-10,-6.43650817240215e-09
63,10,5.09171730056005e-10,1.19640123066678e-09
63,11,1.88046265457999e-09,1.64960610794013e-09
63,12,1.42120132294955e-10,1.05801010502128e-10
63,13,2.16905777794087e-09,-2.40215304555902e-10
63,14,6.2355172935538e-09,-4.72637445097819e-10
63,15,-2.30232523989387e-09,2.10480555190642e-09
63,16,6.19282091656982e-09,1.26739911209577e-09
63,17,7.23647366820962e-10,-3.70837771913747e-09
63,18,-5.73782498697578e-10,1.2005060150226e-09
63,19,-1.73992048623362e-09,1.13706287653884e-09
63,20,1.57656151184698e-09,-1.6447419905028e-10
63,21,1.30381233843968e-09,-2.34464588777721e-09
63,22,-1.36976492103866e-09,-9.27636878281471e-10
63,23,6.7538063435301e-11,6.05112128724351e-10
63,24,-2.65175780792357e-10,-2.91881861852087e-09
63,25,-1.64561637059926e-09,4.32571742584019e-09
63,26,-1.20108384767482e-09,-2.53013725214921e-09
63,27,1.03505959024797e-09,7.24129594822568e-10
63,28,-3.84086860520203e-09,3.4721742213964e-09
63,29,1.09660727819833e-10,1.60107112258166e-09
63,30,-3.11223877344682e-09,-2.38329139133591e-09
63,31,-6.85331778820164e-10,-1.05075741290538e-09
63,32,-2.33508722642474e-09,2.38678311936681e-09
63,33,-5.01576216671477e-09,-1.00773288256993e-09
63,34,2.20573545205178e-09,-2.30767497999604e-09
63,35,2.94109902432826e-09,1.53064403497987e-09
63,36,5.31213491175335e-10,-2.22383917119452e-09
63,37,1.69214777656305e-09,4.55052234320566e-09
63,38,5.81832106784191e-10,-9.76039906647355e-10
63,39,1.25755144410178e-10,2.12657075139623e-09
63,40,1.37730711851653e-10,2.0477101669904e-09
63,41,-3.96589608342038e-09,-1.39548533511663e-09
63,42,-7.23664419125793e-10,2.67132514556939e-11
63,43,-4.31551717891159e-09,3.28813351420422e-09
63,44,-6.75097582174585e-09,-2.06689882500482e-09
63,45,-8.25458283106582e-10,-3.89879887571666e-09
63,46,4.53891031968357e-10,2.83932708765561e-10
63,47,1.2554660285758e-09,-6.91102803532712e-10
63,48,5.63880832604511e-09,-1.78280614321637e-09
63,49,1.10754065801155e-09,1.81656657641441e-09
63,50,3.91055355152521e-11,1.43660371441952e-09
63,51,1.95630040216637e-09,-2.71226551821074e-10
63,52,-2.64968443946342e-10,5.68603943529827e-09
63,53,-2.59996454683954e-09,5.96547104503576e-10
63,54,3.47993409174075e-09,-3.66614055606451e-09
63,55,-6.05969597528743e-09,-8.89673106795054e-10
63,56,2.5474098185465e-10,-5.29613257967325e-09
63,57,-1.50756913157996e-09,1.79534519042859e-09
63,58,4.579029757965e-10,-1.55659360393168e-09
63,59,1.45023562680531e-09,-4.6607736175259e-09
63,60,3.68579889498324e-09,-4.74076035899073e-10
63,61,-3.20941181989947e-09,4.19390284691042e-09
63,62,-4.45682098056386e-09,9.28142561784268e-10
63,63,-4.31264440311084e-10,-1.54513652838482e-10
64,0,-4.14005451410208e-09,0.0
64,1,4.71953359769657e-09,-2.13158651835497e-09
64,2,-9.4792985675486e-10,4.15091239647339e-09
64,3,-7.66740644993084e-10,-8.38426643860422e-10
64,4,-2.4773010894661e-09,2.48372739430599e-09
64,5,-1.29940250332012e-09,-1.96334128119699e-09
64,6,-1.03971176508656e-09,-5.88307526813964e-10
64,7,-3.10212097131563e-10,6.6114997561497e-10
64,8,-2.99348517703396e-10,6.67997450270843e-10
64,9,-1.02014635260336e-09,-1.01381718782353e-09
64,10,1.33188493935182e-09,8.06121255823742e-10
64,11,-1.7032059438125e-09,-3.89729184474474e-09
64,12,1.78258166886837e-09,2.51955932595856e-09
64,13,-1.111331092637e-09,5.85746307315629e-10
64,14,-6.78133961766913e-11,-1.93193028042438e-10
64,15,-1.86191646359273e-09,-1.54541901430519e-09
64,16,2.08017298266363e-09,-1.69225618059948e-09
64,17,-1.1745721021421e-09,-1.82653793618984e-09
64,18,1.23700850300727e-09,2.58291128887855e-09
64,19,-8.55014830290369e-10,2.11174786566762e-11
64,20,-2.58354123193318e-09,-2.03439193142962e-09
64,21,1.16623487159801e-09,6.05930421871708e-12
64,22,1.3827856837889e-09,1.58829664004036e-09
64,23,-3.58888417849257e-09,7.06233961676541e-12
64,24,-3.39352146063535e-09,-2.89960817600202e-09
64,25,1.277615280992e-09,-3.10142975013836e-11
64,26,-1.19268523594832e-09,-2.17810202782245e-09
64,27,-4.91575475396597e-11,-2.96346112545034e-09
64,28,-2.38729697201883e-10,4.20954964198333e-09
64,29,4.24770810481067e-11,-2.51603164828859e-09
64,30,-2.80321416223758e-09,6.49874823300503e-10
64,31,2.62248911077079e-09,1.18566541349259e-09
64,32,6.13353957790262e-10,3.08257355231204e-09
64,33,-2.70018060821544e-09,5.27669302880025e-10
64,34,1.54446593453837e-09,-2.61591348460616e-09
64,35,-6.45549025455904e-09,1.92949877903587e-09
64,36,-1.34670791541336e-09,-1.01226049751729e-09
64,37,1.73827150189742e-09,-1.91939276067552e-10
64,38,2.39333030687539e-09,-2.15141368481968e-09
64,39,5.03088279459186e-10,-3.19628886341102e-09
64,40,4.47465818131534e-09,1.6445542022502e-09
64,41,1.50811470366925e-10,-6.41722993464446e-10
64,42,9.72495144063478e-10,-1.11165301846479e-09
64,43,6.51837757698424e-10,1.82434089118699e-09
64,44,-5.62979716109679e-09,2.69516503864816e-09
64,45,-1.08358047656957e-09,-2.58830673369374e-09
64,46,2.4965678344722e-09,2.97094786557594e-10
64,47,-2.81253761451542e-09,4.50389115093237e-10
64,48,1.55093161728204e-10,-3.12810978123244e-09
64,49,2.09947957563086e-10,1.67775469146849e-09
64,50,-5.25422416092599e-09,-2.89979810793891e-09
64,51,4.935407208082e-10,2.48154860374779e-10
64,52,4.96683531676306e-09,-4.41656550503939e-09
64,53,2.74297861951717e-09,2.35376853669367e-09
64,54,-4.72470308275875e-10,-2.02979976585633e-09
64,55,2.22079260796186e-09,2.40141217175897e-09
64,56,2.49697572742213e-09,3.6717037677267e-09
64,57,-2.48747959876191e-09,3.33925992016119e-10
64,58,-8.62474617622032e-10,-6.26251511671858e-10
64,59,-7.24634783975538e-09,-2.52332920544282e-10
64,60,-7.4854116104313e-10,1.3696979198725e-09
64,61,-4.32624308536948e-09,-3.20099654481772e-09
64,62,-1.34394082219037e-09,-1.09375318684666e-09
64,63,3.01170591691143e-09,-5.12849984167145e-09
64,64,5.48924086917128e-09,-1.46293851139167e-09
65,0,6.89045027794605e-10,0.0
65,1,-3.1487444814753e-09,-3.71253081408441e-09
65,2,-9.22256471576482e-11,-6.45837069367345e-10
65,3,-2.04648522788895e-09,6.30620545643274e-10
65,4,6.64279979838093e-11,-2.371595520423e-09
65,5,-2.65525098127681e-09,-8.33196562747083e-10
65,6,9.45262339405364e-10,-2.53828963445354e-10
65,7,-2.71521483485013e-09,-1.17305238026137e-09
65,8,1.04114466629361e-09,4.32689443327715e-11
65,9,4.01811615817311e-10,1.52760983278343e-09
65,10,2.41582257930129e-09,-1.79156592328632e-09
65,11,-4.83123550156766e-09,-2.88341761384778e-09
65,12,1.77641512367157e-09,2.29919929566285e-09
65,13,-1.5830330046351e-09,8.47203785086843e-10
65,14,-7.30370106113386e-09,-4.44058571445775e-09
65,15,9.50158017092857e-10,2.81572016801782e-09
65,16,-3.29388190815803e-09,-3.35535088824954e-09
65,17,-1.54932174638428e-09,-4.12042673133445e-09
65,18,-2.61154171556372e-09,-9.3593483617724e-10
65,19,-2.37006440180562e-09,2.51196431897359e-10
65,20,-3.53613057851713e-09,-6.17193628322079e-10
65,21,3.06693599954133e-09,-2.98754935339114e-11
65,22,3.12318883672007e-09,-3.2365320246257e-10
65,23,1.47455982997281e-09,3.99124500102514e-09
65,24,-1.4077306355001e-09,1.77000473280849e-10
65,25,6.01559605561276e-10,-1.76135708331479e-09
65,26,-2.33996863073833e-09,-1.67541298651347e-09
65,27,-1.03876326334966e-09,-2.48642873393924e-09
65,28,4.04899449786349e-10,2.64145165390427e-10
65,29,-1.81630819377501e-09,-3.11386264332842e-09
65,30,4.90535662236687e-09,-1.30447815995392e-10
65,31,1.53969958936303e-09,1.55572843386558e-10
65,32,-1.98193753124431e-10,1.44827207661548e-09
65,33,1.09913820959113e-09,4.41850025732132e-10
65,34,6.3576235232765e-10,-2.2928815469072e-09
65,35,-2.25568218846938e-09,3.62078288363102e-09
65,36,-2.21929163929075e-09,-1.56190387969378e-09
65,37,3.28404904798423e-09,-2.00639550633434e-09
65,38,-1.43073248689502e-09,3.35821523813593e-09
65,39,-1.49940519844121e-09,5.03939792301297e-10
65,40,-3.41553708572646e-10,-4.35071551541845e-10
65,41,2.02452651545339e-09,-1.57640212376944e-09
65,42,3.10132556073132e-09,-4.88172924200854e-09
65,43,3.37087621612826e-09,1.91046581654793e-10
65,44,1.33841980683806e-09,2.49577309329857e-09
65,45,-2.94201724781616e-09,2.03855912829496e-09
65,46,3.30476419264263e-09,1.52754286569844e-09
65,47,5.92502628497215e-12,2.29081939171768e-09
65,48,1.4327745215683e-09,-1.61980021586357e-09
65,49,-3.26349968059781e-10,1.25791954369693e-09
65,50,-4.62608967926326e-09,1.20969556370988e-09
65,51,9.27664192961445e-10,-2.00289619004014e-09
65,52,3.8343077887627e-11,2.11228417899405e-09
65,53,-4.81570713936573e-09,5.79181664111798e-10
65,54,1.55625889258693e-09,1.58332811817516e-09
65,55,-3.60677875657927e-09,3.86314314565459e-09
65,56,4.37910183485366e-11,-3.01701237693842e-09
65,57,-1.13091797147179e-09,8.19896945573012e-10
65,58,-1.04325272465019e-09,-4.16910927406235e-10
65,59,2.98261915349512e-09,-2.57715509163434e-09
65,60,8.87660610092164e-10,2.88651850690413e-09
65,61,-4.09895446072163e-09,2.93037233136689e-09
65,62,5.84441050765451e-10,-1.70390663595679e-10
65,63,5.85833561882158e-11,-3.00258259389681e-09
65,64,4.11849369500483e-10,3.60733003414782e-09
65,65,1.14067822465993e-09,1.61266804272286e-09
66,0,-3.66362872088076e-10,0.0
66,1,-2.86488888720856e-10,-4.86512058359796e-10
66,2,1.50757785355088e-09,8.55759234563424e-10
66,3,2.07241965982726e-09,-7.70374634582784e-10
66,4,6.06927814342479e-11,-2.40937079196701e-09
66,5,5.49133306886752e-09,3.86211683170926e-09
66,6,3.28997379456337e-09,-1.83622790512949e-09
66,7,-7.89365834050072e-10,2.30987404222761e-09
66,8,-2.34959360828264e-11,8.59721293788214e-10
66,9,8.28424847549937e-10,5.50961363512134e-09
66,10,-8.88429011916837e-10,-3.36156570627221e-09
66,11,-2.15070105197045e-10,6.59475153576693e-10
66,12,1.82293970167745e-09,-2.77459684799186e-09
66,13,-3.471819712031e-09,1.78214640751137e-09
66,14,-4.12757122311482e-09,-1.08394350019005e-11
66,15,2.73391126429362e-09,-3.66743960145507e-09
66,16,-2.36933415531599e-09,2.17026516145076e-10
66,17,-1.97225782336484e-09,-1.26369124501477e-09
